GEO.id2,Geography,nomove,sameco,diffco,diffst,abroad
"""08000""","Adams County, Colorado",82692,13900,13240,3987,1038
08001,"Adams County, Colorado",82692,13900,13240,3987,1038
08005,"Arapahoe County, Colorado",90116,19906,16666,8545,1721
08013,"Boulder County, Colorado",41407,22789,9556,9552,1482
08014,"Broomfield County, Colorado",8343,559,3215,1068,95
08019,"Clear Creek County, Colorado",1058,177,84,44,0
08031,"Denver County, Colorado",115145,33965,23300,15804,2495
08035,"Douglas County, Colorado",35667,5428,5635,3079,539
08047,"Gilpin County, Colorado",549,16,61,81,0
08059,"Jefferson County, Colorado",76967,15608,13076,6738,1034
08123,"Weld County, Colorado",41918,10997,7213,3261,350
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,, ,,,
