GEOID,GEOID_2,Block Group,Tract,County,Total Population,Millennial Population,Pct,Year
080010078011,15000US080010078011,Block Group 1, Census Tract 78.01, Adams County,1632,344,0.210784314,2013
080010078012,15000US080010078012,Block Group 2, Census Tract 78.01, Adams County,2446,724,0.295993459,2013
080010078021,15000US080010078021,Block Group 1, Census Tract 78.02, Adams County,1270,474,0.373228346,2013
080010078022,15000US080010078022,Block Group 2, Census Tract 78.02, Adams County,1190,338,0.284033613,2013
080010078023,15000US080010078023,Block Group 3, Census Tract 78.02, Adams County,1435,511,0.356097561,2013
080010079001,15000US080010079001,Block Group 1, Census Tract 79, Adams County,2248,896,0.398576512,2013
080010079002,15000US080010079002,Block Group 2, Census Tract 79, Adams County,727,156,0.214580468,2013
080010079003,15000US080010079003,Block Group 3, Census Tract 79, Adams County,1498,440,0.293724967,2013
080010079004,15000US080010079004,Block Group 4, Census Tract 79, Adams County,2125,571,0.268705882,2013
080010080001,15000US080010080001,Block Group 1, Census Tract 80, Adams County,801,241,0.300873908,2013
080010080002,15000US080010080002,Block Group 2, Census Tract 80, Adams County,1068,258,0.241573034,2013
080010080003,15000US080010080003,Block Group 3, Census Tract 80, Adams County,985,313,0.317766497,2013
080010080004,15000US080010080004,Block Group 4, Census Tract 80, Adams County,913,135,0.147864184,2013
080010080005,15000US080010080005,Block Group 5, Census Tract 80, Adams County,1025,249,0.242926829,2013
080010080006,15000US080010080006,Block Group 6, Census Tract 80, Adams County,1049,253,0.241182078,2013
080010081001,15000US080010081001,Block Group 1, Census Tract 81, Adams County,885,572,0.646327684,2013
080010082001,15000US080010082001,Block Group 1, Census Tract 82, Adams County,2069,642,0.310294828,2013
080010082002,15000US080010082002,Block Group 2, Census Tract 82, Adams County,2057,541,0.263004375,2013
080010082003,15000US080010082003,Block Group 3, Census Tract 82, Adams County,709,204,0.287729196,2013
080010083081,15000US080010083081,Block Group 1, Census Tract 83.08, Adams County,1262,287,0.227416799,2013
080010083082,15000US080010083082,Block Group 2, Census Tract 83.08, Adams County,1551,433,0.279174726,2013
080010083083,15000US080010083083,Block Group 3, Census Tract 83.08, Adams County,3183,970,0.304743952,2013
080010083091,15000US080010083091,Block Group 1, Census Tract 83.09, Adams County,632,69,0.109177215,2013
080010083092,15000US080010083092,Block Group 2, Census Tract 83.09, Adams County,1497,226,0.150968604,2013
080010083093,15000US080010083093,Block Group 3, Census Tract 83.09, Adams County,1267,317,0.250197316,2013
080010083531,15000US080010083531,Block Group 1, Census Tract 83.53, Adams County,44,23,0.522727273,2013
080010083532,15000US080010083532,Block Group 2, Census Tract 83.53, Adams County,2152,528,0.24535316,2013
080010083533,15000US080010083533,Block Group 3, Census Tract 83.53, Adams County,964,104,0.107883817,2013
080010083534,15000US080010083534,Block Group 4, Census Tract 83.53, Adams County,1038,211,0.20327553,2013
080010083535,15000US080010083535,Block Group 5, Census Tract 83.53, Adams County,1338,443,0.331091181,2013
080010084011,15000US080010084011,Block Group 1, Census Tract 84.01, Adams County,2440,428,0.175409836,2013
080010084012,15000US080010084012,Block Group 2, Census Tract 84.01, Adams County,1678,303,0.18057211,2013
